method,alpha,lambda,sigma,rho,qbo,qerm,mbo,m,Q
EXPERR,5.0,0.003874844318546026,0.0,1.0014927836935492,0.9317781350404277,83.42736881964696,0.9323221643070186,8.82140426484759,8.816314517940746
EXPLOS,0.1,0.15844660710843797,0.0,1.004962393069643,0.06215258728205764,0.17279219349630334,0.06240359504367046,0.10395431325310814,0.10354306441823441
EXPLOS,0.620909090909091,0.10402986198740319,0.0,0.9985149695214591,0.3366215597070284,1.4642205298646502,0.33656901952758667,0.6999645272800277,0.7001590784919263
EXPLOS,1.141818181818182,0.06925566946545707,0.0,0.9979079046058089,0.5323090426818751,3.5274987930388604,0.5324695089837514,1.367123249492031,1.3666586166872907
EXPLOS,1.662727272727273,0.04760598963610805,0.0,0.9991205966435865,0.6658158198502523,6.47211394617586,0.665829670502863,2.071440252630339,2.0713972587570777
EXPLOS,2.183636363636364,0.03387953498280019,0.0,0.9998708521398078,0.7561704556731506,10.376847910420711,0.7563594087984385,2.7970291949774473,2.7964550341397
EXPLOS,2.704545454545455,0.024861041174073117,0.0,1.0016629388588607,0.8168317763675418,15.304157186716447,0.8174328217543005,3.533858121686091,3.531112018051597
EXPLOS,3.225454545454546,0.019156924764777854,0.0,1.0002670232260167,0.8589966974523889,21.01609102400441,0.8590765937284184,4.24472873821721,4.24444776488649
EXPLOS,3.746363636363637,0.014930319132510462,0.0,0.9991282186624497,0.8888111659757244,27.906339547267688,0.8885290516243595,4.974669671154738,4.976180716084138
EXPLOS,4.2672727272727276,0.01187532101148621,0.0,1.0019595287194931,0.9105576222362904,35.929653023577714,0.9114030941451812,5.7213107926863565,5.715975920276453
EXPLOS,4.788181818181819,0.009668861602358811,0.0,0.9997068146635096,0.926413698083874,44.858311762445986,0.9259967367596951,6.439951369180161,6.442997253464013
EXPLOS,5.3090909090909095,0.008229805693907775,0.0,0.9973776582133635,0.9389400651636738,53.96989184038788,0.9377378305306336,7.105921098941153,7.1151329474334295
EXPLOS,5.83,0.006806949309634117,0.0,0.9974376899894328,0.9482259156243257,65.4610910267255,0.9468387705813928,7.863843579966321,7.875483743529851
EXPERR,0.5,0.04480680897064154,0.0,0.9940014850637985,0.28039318497925175,2.3260078172749257,0.28015363218653244,0.8068745520520839,0.8075306752298443
EXPERR,1.0,0.031635034419381924,0.0,0.9982999969484446,0.48629744891318505,5.616737894045074,0.4861374558128641,1.6518884982593003,1.6525052992153497
EXPERR,1.5,0.022419492787178086,0.0,0.9977773107953722,0.630346256002505,10.136388072437299,0.6298148650277845,2.525202312665558,2.527421069590818
EXPERR,2.0,0.01624276095529898,0.0,0.999444272988271,0.7280783286130046,15.996581377167988,0.7281241525707329,3.412712455160692,3.4123496978996615
EXPERR,2.5,0.012198610554439339,0.0,1.003604238076236,0.7952398375329993,23.15941832883988,0.796420528376736,4.297366105452868,4.291100540587304
EXPERR,3.0,0.008212192744814675,0.0,1.0002664849891134,0.8422804415041617,34.56958324007433,0.8423889989347745,5.3960353152334815,5.395465056066777
EXPERR,3.5,0.0071721775898514915,0.0,0.9988838591218854,0.8757705167241654,42.71816030830255,0.8750244714791957,6.1107955872504,6.116005837233506
EXPERR,4.0,0.005778253650504458,0.0,1.0013731491523585,0.9000518535348779,54.48100603298718,0.900599033218214,7.0063491710773915,7.002094035106559
EXPERR,4.5,0.004866262414338959,0.0,1.0026158802084155,0.9182025997288572,66.66656595553543,0.9194128281019434,7.833682770742031,7.823432785692848
EXPERR,5.5,0.003205309453140347,0.0,1.000696796666968,0.942526684129551,101.22900552582823,0.9427360896471054,9.76967456378717,9.767363578870246
EXPERR,5.83,0.003139209102484586,0.0,0.9980531250329056,0.9484872300734933,107.57887265688323,0.9475773111137914,10.091232885866939,10.100895018302301
EXPLOS,0.5,0.11465939023330834,0.0,1.0026636617350935,0.2804801410905916,1.1004324755896937,0.2815152431640332,0.5558930038157098,0.5541279564347983
EXPLOS,1.0,0.07756201242246898,0.0,0.9967887988478901,0.48623034877352067,2.870589766752456,0.4858429930435204,1.177154586738234,1.1781417551954
EXPLOS,1.5,0.053052968925124615,0.0,1.0050215321005374,0.6296972814090764,5.477169453943746,0.6312338465866024,1.8575835051588152,1.8529160895808434
EXPLOS,2.0,0.0379709536587226,0.0,0.9996752559763269,0.7279903868801686,8.90075501984241,0.7269684969415561,2.537538202064796,2.540934914842994
EXPLOS,2.5,0.028025380600205697,0.0,0.9993306647982824,0.7957102918378527,13.230978635022268,0.7951460972959455,3.237871298377932,3.240072978523799
EXPLOS,3.0,0.021384107628582973,0.0,1.004935274710537,0.8423273214277199,18.410175597664878,0.8443845609806595,3.942927213329369,3.933512773791503
EXPLOS,3.5,0.016685233924348498,0.0,0.9989259271017731,0.8760227520374684,24.58603139849036,0.875448276754972,4.633735630901557,4.636623797495829
EXPLOS,4.0,0.013254301934675201,0.0,0.9986531710762945,0.9002429178384681,31.788811274299263,0.8994931408027149,5.34153147157465,5.345618188576352
EXPLOS,4.5,0.01078049616795477,0.0,1.0043825381238731,0.9182862000027936,39.88837756967204,0.9201888736980354,6.060878838451347,6.048567101659533
EXPLOS,5.0,0.009624063116343824,0.0,1.0016944735688293,0.9321207469117542,46.54550060748333,0.9328233086615463,6.5876099342191425,6.58283314392515
EXPLOS,5.5,0.007392626753075412,0.0,0.9964614002140253,0.9426851205577423,59.430216769383605,0.9411095974855316,7.469259960790047,7.481811786157392
EXP,20.0,0.0,1.0,0.9981749887276876,0.902569928447577,3.6526810509132988,0.901053289289033,1.811256382755403,1.8144908573832697
EXP,30.0,0.0,1.0,0.9959942516833701,0.9304368640592573,3.354453826788637,0.9296818118014996,1.7646470822349827,1.7660840859991433
EXP,5.0,0.0,0.0,0.9640843167883224,0.9314154953389211,23284.09673010828,0.9146139013220338,143.94531654015475,146.70520882417716
EXPERR,0.1,0.15871748062255217,0.5,1.0062899375366974,0.049658287374891044,0.17256778906686204,0.04967036557894762,0.09259262125450572,0.09257053935342303

EXP,0.1,0.0,0.1,1.0012797888486455,0.061585000122189086,65.64573022292188,0.06115525506468421,1.9821301195349514,1.995748137134736
EXP,0.1,0.0,0.1,0.9922771238179068,0.061547825720995854,65.67547274073833,0.061446455386322284,1.994054533757047,1.995222183490532
EXP,0.1,0.0,0.5,0.9986895407393591,0.049652059669133476,66.22885528050074,0.04843903498737757,1.7468639213351096,1.7904101233039176
EXP,0.1,0.0,2.0,0.9984883593665417,0.012551401704710292,68.32535488407726,0.013014229000306141,0.9259811158824743,0.8902456556308994
EXP,1,0.0,0.1,1.0002880561959575,0.48149786268736317,1263.9814335445546,0.48213362392496295,23.840216952378764,23.805814735475316
EXP,1,0.0,0.5,0.9945315317033436,0.39046934590216886,1578.0329849887455,0.38861463022538606,22.894584192895266,22.98498695926833
EXP,1,0.0,2.0,1.0006579661475439,0.11384426916017526,3262.5267213916504,0.11275761640929356,14.944069787806427,15.029231309773262
EXP,0.1,0.0,0.1,0.9939393000972061,0.06167436911710174,53.387482164369885,0.061605913272193225,1.7692069298487703,1.802304110174149
EXP,0.1,0.0,0.5,0.9718709159275425,0.049609598635207294,49.44112783294196,0.05036870402842948,1.5576824087701935,1.5461600510571194
EXP,0.1,0.0,2.0,0.9441663076499344,0.012698327356216852,56.09422213804654,0.015343337444660895,1.1147757740005884,0.8037523071290448
EXP,1,0.0,0.1,0.9325366959717274,0.48258510458675996,1008.758944344679,0.46795658685417224,20.83420299116984,21.353872346866016
EXP,1,0.0,0.5,1.0319283592253488,0.3895320078602889,1296.8223594512103,0.39863335211139356,21.141903999949893,20.798953160273776
EXP,1,0.0,2.0,1.0236632559351708,0.10465248208482499,3107.024883416611,0.09175228429368087,13.22551743756407,13.747218509372908
EXP,10,0.0,0.1,1.0080905025938998,0.9758723407487725,206327.96715270454,0.97349871939116,444.109693183378,438.0723435442695
EXP,10,0.0,0.5,0.9552871589244996,0.8811785267320902,19.849031024950428,0.876173531578463,4.145300350031688,4.1683003983860125
EXP,10,0.0,2.0,1.0232569250660557,0.5543291026138731,1.3760302113559997,0.5593842585601496,0.8722936094699975,0.8642105762336814
EXP,100,0.0,0.1,1.0514034395752365,0.9543491046715511,391.35624586788947,0.9935967637071842,20.258767167969374,19.18482753420873
EXP,100,0.0,0.5,1.040782106368027,0.9839726263965416,13.8664705763276,1.00421128732615,3.784588174099335,3.676054306887759
EXP,100,0.0,2.0,1.0134605867240043,0.9165357276806411,0.7250216299993557,0.929149490494976,0.8277934719630304,0.8137271503564213
EXP,0.1,0.06234,0.1,1.0445299684209415,0.06059187351403682,0.38070579175539393,0.06079832904050022,0.15225964068332776,0.15184749237092993
EXP,0.1,0.15872,0.5,0.9935503343595687,0.04938044679488598,0.1719777970437828,0.04449836881885476,0.08324145883060344,0.09214416830851427
EXP,0.1,1.66972,2.0,1.1052180134675311,0.012895737908826579,0.006875616647975387,0.006848358658961398,0.0050010321801684954,0.009416193177962657
EXP,1,0.03539,0.1,1.0475159069664637,0.48216649681960433,5.232736296619395,0.4968766729099821,1.635047040786766,1.5878581345840823
EXP,1,0.13492,0.5,1.0019478770411552,0.39352002691569943,1.7576961607368164,0.3901579035939483,0.8243763109115994,0.8315622482756293
EXP,1,1.66839,2.0,1.0143261726168278,0.11007502924308613,0.0589765505766431,0.10488445651336872,0.07677444016820081,0.08057124186678802
EXP,10,0.00603,0.1,1.0285647707794388,0.949937666071705,99.44113816647544,0.9711557241714122,9.973580406548823,9.68059004346545
EXP,10,0.09721,0.5,0.9440732853775258,0.8416343843838842,7.88786935087059,0.8503558102281479,2.6067039289768794,2.573634518346633
EXP,10,1.57489,2.0,0.9620632204056951,0.5503584863225818,0.3304754586791416,0.5549853102061124,0.4300302709317071,0.4264436105635553
EXP,100,0.04298,0.1,0.9726038038005083,0.9389540990578185,102.09597899047861,0.9524446900184158,9.948791541326706,9.76592848203671
EXP,100,0.17407,0.5,1.0201130856576948,0.9709745668986297,11.178352297721952,0.9878549667876355,3.36188246820591,3.285445588686978
EXP,100,1.57377,2.0,1.0351071948750836,0.9797332763522887,0.6504994005529271,0.9723456993161514,0.7940591810218929,0.7968329106547045
EXP,0.1,0.0,0.1,1.0235414617250753,0.06226856583223193,56.053191866014686,0.06345379478323722,1.861866282143764,1.8484888185936164
EXP,0.1,0.0,0.5,1.0050918015678565,0.049520115347883656,54.18475635829335,0.05257630344616868,1.6771031731727546,1.603975940263248
EXP,0.1,0.0,2.0,0.9051677563556219,0.012302521759475424,58.61343033261786,0.012306165352341844,0.8781667527110146,0.8094734154987602
EXP,1,0.0,0.1,1.0232103738990381,0.47421895574650746,970.509486047167,0.4887853780961926,21.56510645100758,20.70571068166513
EXP,1,0.0,0.5,0.9988547032272287,0.3834980665828698,1453.4582612046738,0.38384865468762064,21.871266878668703,21.5981323674996
EXP,1,0.0,2.0,1.0146860486324913,0.11636511690958225,2538.0360251877246,0.12782549111240654,15.562900518680944,13.117833325028647
EXP,10,0.0,0.1,1.0658521303157735,0.9766820975146434,156782.60021871547,0.9943083254319713,387.7201653926652,376.06885472605
EXP,10,0.0,0.5,1.019197631887512,0.9356720286979086,22.770248285647668,0.9337723162110174,4.575634586464499,4.595809640271335
EXP,10,0.0,2.0,0.9685420501320111,0.572698221101458,1.4783469967996532,0.576171582076863,0.9189786806210355,0.9095112042888486
EXP,100,0.0,0.1,1.0214981198467608,0.9883413325300563,413.0528002686882,1.0008589600415965,20.50752569120732,20.132461569881286
EXP,100,0.0,0.5,1.0459961953105947,0.9492574684435191,13.419982121457096,0.988559036699527,3.731097666819162,3.5535842377753353
EXP,100,0.0,2.0,1.0149807611499109,0.9220670198297493,0.7231323484630936,0.9335481884799582,0.8283293581625284,0.8149455136334127
EXPLOS,1.0,0.18377574984745176,0.5,0.9964741430342964,0.39005176260678404,1.2841607856764505,0.3894977728456464,0.7063203345702875,0.7072174027635757
EXPLOS,10.0,0.09794871158976898,0.5,1.0015213934215377,0.9140823944539239,8.345343445299862,0.915568647193094,2.7658741266775024,2.761275948844373
EXP,0.1,0.1621,0.1,0.9830533865043197,0.060412196992420876,0.16852680496964326,0.052228955495927556,0.08704000319893632,0.10083585709662748
EXP,0.1,0.2499,0.5,1.0205104179686488,0.049088010931638885,0.10624684674058296,0.05561240691377526,0.08190925331446541,0.07219793421902951
EXP,0.1,1.712,2.0,0.9943342489059278,0.012978029031242257,0.006632645268825429,0.012953621768057616,0.009280169979427717,0.009277793872183642
EXP,1,0.0815,0.1,0.9772373426211362,0.4826753791400157,2.749941815627665,0.4748852178496021,1.1289344423046834,1.1480807964208615
EXP,1,0.1838,0.5,1.013172516949578,0.3870530499170709,1.2707693864432081,0.4021191332973796,0.7272057471445683,0.700760983990053
EXP,1,1.6904,2.0,1.0616635444496745,0.1134344494309186,0.0594731526492905,0.1220242317234161,0.08834699094057002,0.08213515398355628
EXP,10,0.0069,0.1,1.045930399366589,0.9509293871966745,89.19571314568294,0.9789622054633819,9.522878633531045,9.165299034898112
EXP,10,0.0979,0.5,1.0404148514914962,0.9058302151871624,8.284337475908748,0.9291406351846151,2.8131294485556344,2.7363035402212064
EXP,10,1.5897,2.0,0.9912896209128415,0.6237820601456283,0.3701900126199684,0.6118185948823353,0.47120700247130615,0.48050623196611875
EXP,100,0.0622,0.1,1.0306917437009617,0.9384402514413936,83.77950304890622,0.978189168493968,9.267398996721443,8.834122578294387
EXP,100,0.0843,0.5,1.0441705311927683,0.9660718352010405,12.417077751171979,0.9963526076796168,3.5868220734944254,3.449753834448598
EXP,100,1.5019,2.0,0.9247247101977736,0.8627784286025724,0.5692294429949099,0.8617791748448964,0.7011887839940953,0.6999746329657821
EXPERR,5.5,0.003405309453140347,0.0,1.0012240842731222,0.9426004380702188,97.60517594164816,0.9431269760258555,9.59667264076186,9.591363425803534
